phase,dataset,split_id,seed,homophily,num_nodes,avg_degree,num_classes,train_size,val_size,test_size,test_acc_mlp_base,method,test_acc,delta_over_mlp,wall_sec,frac_uncertain,frac_changed,runtime_sec,frac_full_graph,frac_feat_only,mean_reliability,mean_alpha,sharpness,selected_signal
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,mlp_only,0.676056338028169,0.0,0.0,,,,,,,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v1,0.7223340040241448,0.046277665995975825,0.16,0.2535211267605634,0.060362173038229376,0.15836937300014142,,,,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v2_full,0.7203219315895373,0.04426559356136828,0.35,0.2535211267605634,,0.32063885700006267,0.22334004024144868,0.030181086519114688,0.6344984675830101,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v21,0.7002012072434608,0.024144869215291798,0.34,0.18712273641851107,,0.339832928000078,,,0.6746574923837114,0.6746574923837114,1.0,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v22,0.7243460764587525,0.048289738430583484,0.35,0.31388329979879276,,0.3449099440000509,0.30985915492957744,0.004024144869215292,0.6746574923837114,,,
phase1,cora,0,1337,0.81,2708,3.9,7,1192,796,497,0.676056338028169,sgc_v23,0.7002012072434608,0.024144869215291798,0.37,0.18712273641851107,,0.3660337269999445,,,0.6746574923837114,0.6746574923837114,1.0,margin
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,mlp_only,0.7142857142857143,0.0,0.0,,,,,,,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v1,0.7283702213279678,0.014084507042253502,0.14,0.17706237424547283,0.03219315895372234,0.14076032200011923,,,,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v2_full,0.7283702213279678,0.014084507042253502,0.32,0.17706237424547283,,0.29810075500006405,0.15694164989939638,0.02012072434607646,0.6521344677849984,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v21,0.7223340040241448,0.008048289738430525,0.34,0.12072434607645875,,0.3338955229999101,,,0.6924707925924918,0.6924707925924918,1.0,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v22,0.7263581488933601,0.012072434607645843,0.35,0.22736418511066397,,0.34866886199995406,0.2193158953722334,0.008048289738430584,0.6924707925924918,,,
phase1,cora,1,1338,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v23,0.7223340040241448,0.008048289738430525,0.37,0.12072434607645875,,0.3627258050000819,,,0.6924707925924918,0.6924707925924918,1.0,margin
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,mlp_only,0.4780701754385965,0.0,0.0,,,,,,,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v1,0.4758771929824561,-0.0021929824561403577,0.44,0.03070175438596491,0.013157894736842105,0.43991107900001225,,,,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v2_full,0.4758771929824561,-0.0021929824561403577,0.66,0.11403508771929824,,0.6354572310000322,0.008771929824561403,0.10526315789473684,0.27368715804658816,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v21,0.4758771929824561,-0.0021929824561403577,0.67,0.11403508771929824,,0.6666103659999862,,,0.3886427186632338,0.04307585084974184,4.0,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v22,0.4758771929824561,-0.0021929824561403577,0.68,0.1162280701754386,,0.6754526510000005,0.02631578947368421,0.08991228070175439,0.3886427186632338,,,
phase1,chameleon,0,1337,0.2305,2277,27.58,5,1092,729,456,0.4780701754385965,sgc_v23,0.4758771929824561,-0.0021929824561403577,0.71,0.11403508771929824,,0.7036663589999534,,,0.3886427186632338,0.04307585084974184,4.0,margin
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,mlp_only,0.4605263157894737,0.0,0.0,,,,,,,,,
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v1,0.46271929824561403,0.0021929824561403577,0.45,0.06140350877192982,0.017543859649122806,0.4537289550000878,,,,,,
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v2_full,0.4605263157894737,0.0,0.66,0.13596491228070176,,0.6407335850000209,0.03728070175438596,0.09868421052631579,0.28437778994752344,,,
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v21,0.46271929824561403,0.0021929824561403577,0.68,0.13596491228070176,,0.6735917030000564,,,0.39421349038654774,0.04427772712324987,4.0,
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v22,0.4649122807017544,0.004385964912280715,0.68,0.39473684210526316,,0.6769046670000307,0.11403508771929824,0.2807017543859649,0.39421349038654774,,,
phase1,chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v23,0.46271929824561403,0.0021929824561403577,0.7,0.13596491228070176,,0.6950137109998877,,,0.39421349038654774,0.04427772712324987,4.0,margin
phase1,texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,mlp_only,0.7297297297297297,0.0,0.0,,,,,,,,,
phase1,texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v1,0.7297297297297297,0.0,0.01,0.0,0.0,0.010930002999884891,,,,,,
phase1,texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v2_full,0.7297297297297297,0.0,0.02,0.1891891891891892,,0.019769704999930582,0.05405405405405406,0.13513513513513514,0.28695095766734885,,,
phase1,texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v21,0.7297297297297297,0.0,0.04,0.1891891891891892,,0.04337872700000389,,,0.3880585396069025,0.3880585396069025,1.0,
phase1,texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v22,0.7297297297297297,0.0,0.04,0.1891891891891892,,0.040880373000049985,0.16216216216216217,0.02702702702702703,0.3880585396069025,,,
phase1,texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v23,0.7297297297297297,0.0,0.07,0.1891891891891892,,0.06455532799998309,,,0.3880585396069025,0.3880585396069025,1.0,neg_entropy
phase1,texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,mlp_only,0.8108108108108109,0.0,0.0,,,,,,,,,
phase1,texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v1,0.8108108108108109,0.0,0.01,0.02702702702702703,0.0,0.010834233999958087,,,,,,
phase1,texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v2_full,0.8378378378378378,0.027027027027026973,0.02,0.08108108108108109,,0.0201197270001785,0.0,0.08108108108108109,0.27892642570247395,,,
phase1,texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v21,0.8378378378378378,0.027027027027026973,0.04,0.08108108108108109,,0.04362427499995647,,,0.3881353086228842,0.3881353086228842,1.0,
phase1,texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v22,0.8108108108108109,0.0,0.04,0.08108108108108109,,0.039728603000071416,0.08108108108108109,0.0,0.3881353086228842,,,
phase1,texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v23,0.8378378378378378,0.027027027027026973,0.07,0.08108108108108109,,0.06477383499998268,,,0.3881353086228842,0.3881353086228842,1.0,margin
phase2,cora,2,1339,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,mlp_only,0.7142857142857143,0.0,0.0,,,,,,,,,
phase2,cora,2,1339,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v1,0.7484909456740443,0.03420523138832998,0.14,0.1750503018108652,0.04225352112676056,0.14255482099997607,,,,,,
phase2,cora,2,1339,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v2_full,0.7505030181086519,0.03621730382293764,0.33,0.1750503018108652,,0.3061250849999624,0.15090543259557343,0.02414486921529175,0.6726642698680219,,,
phase2,cora,2,1339,0.81,2708,3.9,7,1192,796,497,0.7142857142857143,sgc_v22,0.7525150905432596,0.0382293762575453,0.35,0.2454728370221328,,0.3467969240000457,0.2414486921529175,0.004024144869215292,0.7110246168538757,,,
phase2,cora,3,1340,0.81,2708,3.9,7,1192,796,497,0.7082494969818913,mlp_only,0.7082494969818913,0.0,0.0,,,,,,,,,
phase2,cora,3,1340,0.81,2708,3.9,7,1192,796,497,0.7082494969818913,sgc_v1,0.7585513078470825,0.05030181086519114,0.14,0.23340040241448692,0.06841046277665996,0.14370283499999914,,,,,,
phase2,cora,3,1340,0.81,2708,3.9,7,1192,796,497,0.7082494969818913,sgc_v2_full,0.7525150905432596,0.04426559356136828,0.33,0.23340040241448692,,0.3088646219999873,0.19114688128772636,0.04225352112676056,0.6568675164357075,,,
phase2,cora,3,1340,0.81,2708,3.9,7,1192,796,497,0.7082494969818913,sgc_v22,0.7565392354124748,0.048289738430583484,0.35,0.323943661971831,,0.34727607499996793,0.32193158953722334,0.002012072434607646,0.7017737805464317,,,
phase2,cora,4,1341,0.81,2708,3.9,7,1192,796,497,0.7505030181086519,mlp_only,0.7505030181086519,0.0,0.0,,,,,,,,,
phase2,cora,4,1341,0.81,2708,3.9,7,1192,796,497,0.7505030181086519,sgc_v1,0.7887323943661971,0.03822937625754519,0.14,0.2193158953722334,0.04426559356136821,0.1436926860000085,,,,,,
phase2,cora,4,1341,0.81,2708,3.9,7,1192,796,497,0.7505030181086519,sgc_v2_full,0.7806841046277666,0.030181086519114664,0.33,0.2193158953722334,,0.30437160500002847,0.17706237424547283,0.04225352112676056,0.65384958566586,,,
phase2,cora,4,1341,0.81,2708,3.9,7,1192,796,497,0.7505030181086519,sgc_v22,0.7887323943661971,0.03822937625754519,0.35,0.2857142857142857,,0.35063136900009795,0.2716297786720322,0.014084507042253521,0.6986532317193029,,,
phase2,chameleon,2,1339,0.2305,2277,27.58,5,1092,729,456,0.4342105263157895,mlp_only,0.4342105263157895,0.0,0.0,,,,,,,,,
phase2,chameleon,2,1339,0.2305,2277,27.58,5,1092,729,456,0.4342105263157895,sgc_v1,0.4342105263157895,0.0,0.44,0.02850877192982456,0.0043859649122807015,0.43852809800000614,,,,,,
phase2,chameleon,2,1339,0.2305,2277,27.58,5,1092,729,456,0.4342105263157895,sgc_v2_full,0.4342105263157895,0.0,0.64,0.08991228070175439,,0.622188350999977,0.0021929824561403508,0.08771929824561403,0.2629820022030787,,,
phase2,chameleon,2,1339,0.2305,2277,27.58,5,1092,729,456,0.4342105263157895,sgc_v22,0.43640350877192985,0.0021929824561403577,0.67,0.1118421052631579,,0.6663255000000845,0.0,0.1118421052631579,0.38678591800020795,,,
phase2,chameleon,3,1340,0.2305,2277,27.58,5,1092,729,456,0.506578947368421,mlp_only,0.506578947368421,0.0,0.0,,,,,,,,,
phase2,chameleon,3,1340,0.2305,2277,27.58,5,1092,729,456,0.506578947368421,sgc_v1,0.5043859649122807,-0.002192982456140302,0.43,0.03070175438596491,0.008771929824561403,0.4342261269999881,,,,,,
phase2,chameleon,3,1340,0.2305,2277,27.58,5,1092,729,456,0.506578947368421,sgc_v2_full,0.5109649122807017,0.004385964912280715,0.65,0.09210526315789473,,0.6234009300000025,0.0021929824561403508,0.08991228070175439,0.27281558938037725,,,
phase2,chameleon,3,1340,0.2305,2277,27.58,5,1092,729,456,0.506578947368421,sgc_v22,0.5131578947368421,0.006578947368421129,0.66,0.4166666666666667,,0.6609972449999759,0.34210526315789475,0.07456140350877193,0.39249652359396037,,,
phase2,chameleon,4,1341,0.2305,2277,27.58,5,1092,729,456,0.46710526315789475,mlp_only,0.46710526315789475,0.0,0.0,,,,,,,,,
phase2,chameleon,4,1341,0.2305,2277,27.58,5,1092,729,456,0.46710526315789475,sgc_v1,0.47368421052631576,0.006578947368421018,0.43,0.05701754385964912,0.019736842105263157,0.43235233400002926,,,,,,
phase2,chameleon,4,1341,0.2305,2277,27.58,5,1092,729,456,0.46710526315789475,sgc_v2_full,0.46710526315789475,0.0,0.64,0.10526315789473684,,0.6179085190000251,0.015350877192982455,0.08991228070175439,0.27505637925018633,,,
phase2,chameleon,4,1341,0.2305,2277,27.58,5,1092,729,456,0.46710526315789475,sgc_v22,0.4692982456140351,0.0021929824561403577,0.66,0.4232456140350877,,0.6621684499998537,0.22587719298245615,0.19736842105263158,0.39346819039194697,,,
phase2,texas,2,1339,0.0871,183,3.14,5,87,59,37,0.7837837837837838,mlp_only,0.7837837837837838,0.0,0.0,,,,,,,,,
phase2,texas,2,1339,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v1,0.7837837837837838,0.0,0.01,0.05405405405405406,0.02702702702702703,0.01091312299990932,,,,,,
phase2,texas,2,1339,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v2_full,0.8108108108108109,0.027027027027027084,0.02,0.08108108108108109,,0.018577091999986806,0.0,0.08108108108108109,0.31332675381028585,,,
phase2,texas,2,1339,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v22,0.7837837837837838,0.0,0.04,0.02702702702702703,,0.042589903999896705,0.0,0.02702702702702703,0.4450750927640426,,,
phase2,texas,3,1340,0.0871,183,3.14,5,87,59,37,0.7837837837837838,mlp_only,0.7837837837837838,0.0,0.0,,,,,,,,,
phase2,texas,3,1340,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v1,0.7837837837837838,0.0,0.01,0.0,0.0,0.011337393999951928,,,,,,
phase2,texas,3,1340,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v2_full,0.8108108108108109,0.027027027027027084,0.02,0.10810810810810811,,0.02097303900006864,0.08108108108108109,0.02702702702702703,0.3847806487431532,,,
phase2,texas,3,1340,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v22,0.8108108108108109,0.027027027027027084,0.04,0.2702702702702703,,0.042106909000040105,0.2702702702702703,0.0,0.45845850997194565,,,
phase2,texas,4,1341,0.0871,183,3.14,5,87,59,37,0.7837837837837838,mlp_only,0.7837837837837838,0.0,0.0,,,,,,,,,
phase2,texas,4,1341,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v1,0.7567567567567568,-0.027027027027026973,0.01,0.05405405405405406,0.02702702702702703,0.011312457999906655,,,,,,
phase2,texas,4,1341,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v2_full,0.7837837837837838,0.0,0.02,0.16216216216216217,,0.01844449399993664,0.05405405405405406,0.10810810810810811,0.328952275734124,,,
phase2,texas,4,1341,0.0871,183,3.14,5,87,59,37,0.7837837837837838,sgc_v22,0.7837837837837838,0.0,0.04,0.21621621621621623,,0.04039097199995467,0.1891891891891892,0.02702702702702703,0.4163468697388127,,,
