method,dataset,noise_fraction,mean_delta_vs_mlp,std_delta_vs_mlp,n_splits
APPNP,chameleon,0.0,0.061184,0.019214,10
CLP,chameleon,0.0,0.004605,0.038032,10
CORRECT_AND_SMOOTH,chameleon,0.0,0.024561,0.024525,10
FINAL_V3,chameleon,0.0,-0.000219,0.004788,10
GRAPHSAGE,chameleon,0.0,0.167105,0.026352,10
SGC,chameleon,0.0,0.158772,0.025579,10
APPNP,chameleon,0.1,0.035526,0.024350,10
CLP,chameleon,0.1,0.006140,0.038414,10
CORRECT_AND_SMOOTH,chameleon,0.1,-0.022588,0.030790,10
FINAL_V3,chameleon,0.1,0.000658,0.003110,10
GRAPHSAGE,chameleon,0.1,0.116009,0.019951,10
SGC,chameleon,0.1,0.099781,0.030250,10
APPNP,chameleon,0.2,0.015132,0.028339,10
CLP,chameleon,0.2,0.006798,0.033104,10
CORRECT_AND_SMOOTH,chameleon,0.2,-0.062281,0.033772,10
FINAL_V3,chameleon,0.2,-0.000877,0.004287,10
GRAPHSAGE,chameleon,0.2,0.095395,0.026382,10
SGC,chameleon,0.2,0.063816,0.025667,10
APPNP,chameleon,0.3,0.012500,0.025302,10
CLP,chameleon,0.3,0.009649,0.034259,10
CORRECT_AND_SMOOTH,chameleon,0.3,-0.065789,0.033306,10
FINAL_V3,chameleon,0.3,-0.000658,0.002745,10
GRAPHSAGE,chameleon,0.3,0.074123,0.018166,10
SGC,chameleon,0.3,0.033114,0.028676,10
APPNP,citeseer,0.0,0.086608,0.019230,10
CLP,citeseer,0.0,0.070952,0.018352,10
CORRECT_AND_SMOOTH,citeseer,0.0,0.092635,0.019260,10
FINAL_V3,citeseer,0.0,0.024815,0.009758,10
GRAPHSAGE,citeseer,0.0,0.080024,0.018614,10
SGC,citeseer,0.0,0.084549,0.023105,10
APPNP,citeseer,0.1,0.073696,0.015365,10
CLP,citeseer,0.1,0.068206,0.012784,10
CORRECT_AND_SMOOTH,citeseer,0.1,0.083305,0.016314,10
FINAL_V3,citeseer,0.1,0.020161,0.009016,10
GRAPHSAGE,citeseer,0.1,0.068442,0.018409,10
SGC,citeseer,0.1,0.068978,0.017788,10
APPNP,citeseer,0.2,0.052784,0.010757,10
CLP,citeseer,0.2,0.061235,0.011340,10
CORRECT_AND_SMOOTH,citeseer,0.2,0.069984,0.017480,10
FINAL_V3,citeseer,0.2,0.014691,0.007831,10
GRAPHSAGE,citeseer,0.2,0.040558,0.017205,10
SGC,citeseer,0.2,0.040751,0.019072,10
APPNP,citeseer,0.3,0.044824,0.021345,10
CLP,citeseer,0.3,0.060957,0.013190,10
CORRECT_AND_SMOOTH,citeseer,0.3,0.059110,0.016005,10
FINAL_V3,citeseer,0.3,0.012804,0.007566,10
GRAPHSAGE,citeseer,0.3,0.023442,0.018440,10
SGC,citeseer,0.3,0.026980,0.021175,10
APPNP,cora,0.0,0.175050,0.034773,10
CLP,cora,0.0,0.119718,0.031275,10
CORRECT_AND_SMOOTH,cora,0.0,0.172636,0.028578,10
FINAL_V3,cora,0.0,0.034205,0.012512,10
GRAPHSAGE,cora,0.0,0.164185,0.032433,10
SGC,cora,0.0,0.162374,0.030983,10
APPNP,cora,0.1,0.157344,0.035563,10
CLP,cora,0.1,0.094567,0.020431,10
CORRECT_AND_SMOOTH,cora,0.1,0.160161,0.026697,10
FINAL_V3,cora,0.1,0.027968,0.009600,10
GRAPHSAGE,cora,0.1,0.146680,0.041262,10
SGC,cora,0.1,0.138431,0.039380,10
APPNP,cora,0.2,0.142254,0.026423,10
CLP,cora,0.2,0.076459,0.016888,10
CORRECT_AND_SMOOTH,cora,0.2,0.143260,0.027877,10
FINAL_V3,cora,0.2,0.022938,0.007174,10
GRAPHSAGE,cora,0.2,0.124950,0.030240,10
SGC,cora,0.2,0.123742,0.029529,10
APPNP,cora,0.3,0.117505,0.037681,10
CLP,cora,0.3,0.060966,0.018564,10
CORRECT_AND_SMOOTH,cora,0.3,0.126157,0.030204,10
FINAL_V3,cora,0.3,0.016298,0.009459,10
GRAPHSAGE,cora,0.3,0.096781,0.035899,10
SGC,cora,0.3,0.085111,0.032403,10
APPNP,pubmed,0.0,0.008342,0.007544,10
CLP,pubmed,0.0,0.000634,0.004566,10
CORRECT_AND_SMOOTH,pubmed,0.0,0.008900,0.006957,10
FINAL_V3,pubmed,0.0,0.010903,0.002087,10
GRAPHSAGE,pubmed,0.0,0.014275,0.004512,10
SGC,pubmed,0.0,-0.017292,0.008600,10
APPNP,pubmed,0.1,-0.005553,0.005986,10
CLP,pubmed,0.1,-0.001090,0.004618,10
CORRECT_AND_SMOOTH,pubmed,0.1,-0.004057,0.005406,10
FINAL_V3,pubmed,0.1,0.009178,0.002648,10
GRAPHSAGE,pubmed,0.1,0.008519,0.004760,10
SGC,pubmed,0.1,-0.040264,0.007204,10
APPNP,pubmed,0.2,-0.019853,0.006731,10
CLP,pubmed,0.2,-0.002941,0.003719,10
CORRECT_AND_SMOOTH,pubmed,0.2,-0.020816,0.008829,10
FINAL_V3,pubmed,0.2,0.007201,0.001757,10
GRAPHSAGE,pubmed,0.2,0.003550,0.004066,10
SGC,pubmed,0.2,-0.063413,0.007470,10
APPNP,pubmed,0.3,-0.027890,0.006892,10
CLP,pubmed,0.3,-0.004792,0.004233,10
CORRECT_AND_SMOOTH,pubmed,0.3,-0.037525,0.010656,10
FINAL_V3,pubmed,0.3,0.003905,0.002081,10
GRAPHSAGE,pubmed,0.3,0.001978,0.004357,10
SGC,pubmed,0.3,-0.089427,0.008264,10
APPNP,texas,0.0,-0.216216,0.095342,10
CLP,texas,0.0,-0.010811,0.075590,10
CORRECT_AND_SMOOTH,texas,0.0,-0.016216,0.092051,10
FINAL_V3,texas,0.0,0.005405,0.017093,10
GRAPHSAGE,texas,0.0,0.018919,0.118871,10
SGC,texas,0.0,-0.237838,0.096863,10
APPNP,texas,0.1,-0.205405,0.088454,10
CLP,texas,0.1,-0.010811,0.071165,10
CORRECT_AND_SMOOTH,texas,0.1,-0.029730,0.106938,10
FINAL_V3,texas,0.1,0.002703,0.019942,10
GRAPHSAGE,texas,0.1,0.000000,0.126126,10
SGC,texas,0.1,-0.248649,0.074071,10
APPNP,texas,0.2,-0.189189,0.097030,10
CLP,texas,0.2,-0.032432,0.069550,10
CORRECT_AND_SMOOTH,texas,0.2,-0.021622,0.110190,10
FINAL_V3,texas,0.2,0.000000,0.012741,10
GRAPHSAGE,texas,0.2,-0.013514,0.097239,10
SGC,texas,0.2,-0.237838,0.122071,10
APPNP,texas,0.3,-0.178378,0.073411,10
CLP,texas,0.3,-0.016216,0.086599,10
CORRECT_AND_SMOOTH,texas,0.3,-0.018919,0.081630,10
FINAL_V3,texas,0.3,0.000000,0.018018,10
GRAPHSAGE,texas,0.3,-0.024324,0.110668,10
SGC,texas,0.3,-0.254054,0.099671,10
APPNP,wisconsin,0.0,-0.272549,0.049302,10
CLP,wisconsin,0.0,0.013725,0.034647,10
CORRECT_AND_SMOOTH,wisconsin,0.0,-0.027451,0.026469,10
FINAL_V3,wisconsin,0.0,0.001961,0.006201,10
GRAPHSAGE,wisconsin,0.0,-0.101961,0.090470,10
SGC,wisconsin,0.0,-0.307843,0.098279,10
APPNP,wisconsin,0.1,-0.266667,0.049948,10
CLP,wisconsin,0.1,0.009804,0.036096,10
CORRECT_AND_SMOOTH,wisconsin,0.1,-0.005882,0.027807,10
FINAL_V3,wisconsin,0.1,0.003922,0.008267,10
GRAPHSAGE,wisconsin,0.1,-0.058824,0.104575,10
SGC,wisconsin,0.1,-0.300000,0.091059,10
APPNP,wisconsin,0.2,-0.225490,0.072340,10
CLP,wisconsin,0.2,0.005882,0.032086,10
CORRECT_AND_SMOOTH,wisconsin,0.2,-0.017647,0.036332,10
FINAL_V3,wisconsin,0.2,0.000000,0.000000,10
GRAPHSAGE,wisconsin,0.2,-0.062745,0.092340,10
SGC,wisconsin,0.2,-0.290196,0.080474,10
APPNP,wisconsin,0.3,-0.207843,0.052451,10
CLP,wisconsin,0.3,0.005882,0.043404,10
CORRECT_AND_SMOOTH,wisconsin,0.3,-0.003922,0.035559,10
FINAL_V3,wisconsin,0.3,0.001961,0.014468,10
GRAPHSAGE,wisconsin,0.3,-0.082353,0.102011,10
SGC,wisconsin,0.3,-0.288235,0.060647,10
