method,dataset,train_fraction,mean_test_acc,std_test_acc,n_splits
APPNP,chameleon,0.1,0.361623,0.032861,10
CLP,chameleon,0.1,0.313816,0.043816,10
CORRECT_AND_SMOOTH,chameleon,0.1,0.420175,0.037704,10
FINAL_V3,chameleon,0.1,0.357237,0.033217,10
GRAPHSAGE,chameleon,0.1,0.437281,0.042350,10
MLP_ONLY,chameleon,0.1,0.357895,0.032524,10
SGC,chameleon,0.1,0.491667,0.051126,10
APPNP,chameleon,0.2,0.395395,0.025260,10
CLP,chameleon,0.2,0.323684,0.035060,10
CORRECT_AND_SMOOTH,chameleon,0.2,0.417325,0.017907,10
FINAL_V3,chameleon,0.2,0.371491,0.026962,10
GRAPHSAGE,chameleon,0.2,0.500439,0.029346,10
MLP_ONLY,chameleon,0.2,0.370175,0.027367,10
SGC,chameleon,0.2,0.554386,0.030225,10
APPNP,chameleon,0.4,0.458114,0.024298,10
CLP,chameleon,0.4,0.353070,0.052581,10
CORRECT_AND_SMOOTH,chameleon,0.4,0.455263,0.026562,10
FINAL_V3,chameleon,0.4,0.400000,0.022958,10
GRAPHSAGE,chameleon,0.4,0.548026,0.030935,10
MLP_ONLY,chameleon,0.4,0.401096,0.024992,10
SGC,chameleon,0.4,0.591667,0.029400,10
APPNP,chameleon,1.0,0.527632,0.025390,10
CLP,chameleon,1.0,0.471053,0.041271,10
CORRECT_AND_SMOOTH,chameleon,1.0,0.491009,0.025332,10
FINAL_V3,chameleon,1.0,0.466228,0.024403,10
GRAPHSAGE,chameleon,1.0,0.633553,0.025332,10
MLP_ONLY,chameleon,1.0,0.466447,0.022437,10
SGC,chameleon,1.0,0.625219,0.019408,10
APPNP,citeseer,0.1,0.698696,0.016462,10
CLP,citeseer,0.1,0.568952,0.049039,10
CORRECT_AND_SMOOTH,citeseer,0.1,0.714416,0.017731,10
FINAL_V3,citeseer,0.1,0.513556,0.034893,10
GRAPHSAGE,citeseer,0.1,0.689795,0.020460,10
MLP_ONLY,citeseer,0.1,0.492666,0.032540,10
SGC,citeseer,0.1,0.706201,0.018545,10
APPNP,citeseer,0.2,0.721044,0.018086,10
CLP,citeseer,0.2,0.683189,0.020249,10
CORRECT_AND_SMOOTH,citeseer,0.2,0.728723,0.012404,10
FINAL_V3,citeseer,0.2,0.588623,0.027931,10
GRAPHSAGE,citeseer,0.2,0.713645,0.014030,10
MLP_ONLY,citeseer,0.2,0.557845,0.028659,10
SGC,citeseer,0.2,0.727350,0.022870,10
APPNP,citeseer,0.4,0.744873,0.017819,10
CLP,citeseer,0.4,0.719157,0.018575,10
CORRECT_AND_SMOOTH,citeseer,0.4,0.753152,0.013912,10
FINAL_V3,citeseer,0.4,0.639242,0.017115,10
GRAPHSAGE,citeseer,0.4,0.737409,0.015291,10
MLP_ONLY,citeseer,0.4,0.614254,0.018809,10
SGC,citeseer,0.4,0.743371,0.018320,10
APPNP,citeseer,1.0,0.767137,0.014956,10
CLP,citeseer,1.0,0.751480,0.017712,10
CORRECT_AND_SMOOTH,citeseer,1.0,0.773163,0.013519,10
FINAL_V3,citeseer,1.0,0.705344,0.021531,10
GRAPHSAGE,citeseer,1.0,0.760552,0.011900,10
MLP_ONLY,citeseer,1.0,0.680529,0.019525,10
SGC,citeseer,1.0,0.765077,0.016529,10
APPNP,cora,0.1,0.819718,0.018126,10
CLP,cora,0.1,0.606439,0.069933,10
CORRECT_AND_SMOOTH,cora,0.1,0.851509,0.015111,10
FINAL_V3,cora,0.1,0.532596,0.027195,10
GRAPHSAGE,cora,0.1,0.786922,0.017857,10
MLP_ONLY,cora,0.1,0.507243,0.020573,10
SGC,cora,0.1,0.795171,0.026656,10
APPNP,cora,0.2,0.847686,0.016430,10
CLP,cora,0.2,0.717706,0.040409,10
CORRECT_AND_SMOOTH,cora,0.2,0.863179,0.012330,10
FINAL_V3,cora,0.2,0.595775,0.024651,10
GRAPHSAGE,cora,0.2,0.826157,0.013849,10
MLP_ONLY,cora,0.2,0.564185,0.026220,10
SGC,cora,0.2,0.833602,0.016292,10
APPNP,cora,0.4,0.857545,0.014284,10
CLP,cora,0.4,0.771026,0.020294,10
CORRECT_AND_SMOOTH,cora,0.4,0.866398,0.014170,10
FINAL_V3,cora,0.4,0.656539,0.016375,10
GRAPHSAGE,cora,0.4,0.851911,0.011311,10
MLP_ONLY,cora,0.4,0.624145,0.016175,10
SGC,cora,0.4,0.847686,0.011265,10
APPNP,cora,1.0,0.880684,0.013747,10
CLP,cora,1.0,0.825352,0.015200,10
CORRECT_AND_SMOOTH,cora,1.0,0.878270,0.012448,10
FINAL_V3,cora,1.0,0.739839,0.027162,10
GRAPHSAGE,cora,1.0,0.869819,0.008162,10
MLP_ONLY,cora,1.0,0.705634,0.029343,10
SGC,cora,1.0,0.868008,0.008703,10
APPNP,pubmed,0.1,0.864275,0.007658,10
CLP,pubmed,0.1,0.847541,0.006705,10
CORRECT_AND_SMOOTH,pubmed,0.1,0.871526,0.005717,10
FINAL_V3,pubmed,0.1,0.801090,0.006295,10
GRAPHSAGE,pubmed,0.1,0.846476,0.007987,10
MLP_ONLY,pubmed,0.1,0.787525,0.006116,10
SGC,pubmed,0.1,0.845791,0.007878,10
APPNP,pubmed,0.2,0.874417,0.004919,10
CLP,pubmed,0.2,0.861410,0.003149,10
CORRECT_AND_SMOOTH,pubmed,0.2,0.874189,0.006112,10
FINAL_V3,pubmed,0.2,0.834255,0.004445,10
GRAPHSAGE,pubmed,0.2,0.863286,0.003854,10
MLP_ONLY,pubmed,0.2,0.821324,0.005429,10
SGC,pubmed,0.2,0.851471,0.005206,10
APPNP,pubmed,0.4,0.878448,0.005791,10
CLP,pubmed,0.4,0.870487,0.004534,10
CORRECT_AND_SMOOTH,pubmed,0.4,0.878575,0.006615,10
FINAL_V3,pubmed,0.4,0.860903,0.006250,10
GRAPHSAGE,pubmed,0.4,0.877535,0.005332,10
MLP_ONLY,pubmed,0.4,0.847896,0.006282,10
SGC,pubmed,0.4,0.854615,0.007193,10
APPNP,pubmed,1.0,0.881922,0.006747,10
CLP,pubmed,1.0,0.874214,0.003557,10
CORRECT_AND_SMOOTH,pubmed,1.0,0.882480,0.006018,10
FINAL_V3,pubmed,1.0,0.884483,0.004149,10
GRAPHSAGE,pubmed,1.0,0.887855,0.004855,10
MLP_ONLY,pubmed,1.0,0.873580,0.003934,10
SGC,pubmed,1.0,0.856288,0.007614,10
APPNP,texas,0.1,0.594595,0.045937,10
CLP,texas,0.1,0.608108,0.068906,10
CORRECT_AND_SMOOTH,texas,0.1,0.405405,0.158107,10
FINAL_V3,texas,0.1,0.600000,0.093451,10
GRAPHSAGE,texas,0.1,0.632432,0.072297,10
MLP_ONLY,texas,0.1,0.600000,0.090808,10
SGC,texas,0.1,0.610811,0.061367,10
APPNP,texas,0.2,0.591892,0.057615,10
CLP,texas,0.2,0.656757,0.130584,10
CORRECT_AND_SMOOTH,texas,0.2,0.570270,0.132680,10
FINAL_V3,texas,0.2,0.659459,0.097197,10
GRAPHSAGE,texas,0.2,0.656757,0.075429,10
MLP_ONLY,texas,0.2,0.662162,0.095555,10
SGC,texas,0.2,0.602703,0.080629,10
APPNP,texas,0.4,0.610811,0.058662,10
CLP,texas,0.4,0.754054,0.112847,10
CORRECT_AND_SMOOTH,texas,0.4,0.670270,0.142900,10
FINAL_V3,texas,0.4,0.718919,0.082765,10
GRAPHSAGE,texas,0.4,0.751351,0.089910,10
MLP_ONLY,texas,0.4,0.718919,0.078745,10
SGC,texas,0.4,0.583784,0.052839,10
APPNP,texas,1.0,0.589189,0.055242,10
CLP,texas,1.0,0.794595,0.052839,10
CORRECT_AND_SMOOTH,texas,1.0,0.789189,0.070708,10
FINAL_V3,texas,1.0,0.810811,0.079565,10
GRAPHSAGE,texas,1.0,0.824324,0.067718,10
MLP_ONLY,texas,1.0,0.805405,0.070708,10
SGC,texas,1.0,0.567568,0.064965,10
