dataset,split_id,method,ablation,test_acc,val_acc,delta_vs_mlp,frac_corrected,mean_delta_entropy,mean_corr_mag,helped_count,hurt_count,net_help,frac_corrected_low_margin,frac_corrected_med_margin,frac_corrected_high_margin,alpha1,alpha2,lambda_corr,tau_H,tau_R,runtime_sec
chameleon,0,MLP_ONLY,,0.44956140350877194,,0.0,,,,,,,,,,,,,,,
chameleon,0,FINAL_V3,,0.44956140350877194,0.4773662551440329,0.0,,,,0,0,,,,,,,,,,0.4437825399999724
chameleon,0,CA_MRC,full,0.44956140350877194,0.4718792866941015,0.0,0.02631578947368421,-2.9814475510647753e-07,0.009288785979151726,0,0,0,0.25,0.25,0.5,1.0,0.25,0.25,0.0,0.05,0.0821169060000102
chameleon,0,CA_MRC,no_compat,0.44956140350877194,0.4718792866941015,0.0,0.015350877192982455,0.00010871813719859347,0.032924264669418335,0,0,0,0.0,0.0,1.0,1.0,0.25,0.25,0.0,0.2,0.08081580599997551
chameleon,0,CA_MRC,entropy_only,0.44956140350877194,0.4732510288065844,0.0,0.506578947368421,7.921903306851164e-05,0.012667960487306118,0,0,0,0.23809523809523808,0.16017316017316016,0.6017316017316018,1.0,1.0,1.0,0.0,0.05,0.0812808850000124
chameleon,0,CA_MRC,mag_only,0.44956140350877194,0.4718792866941015,0.0,0.046052631578947366,-2.9814475510647753e-07,0.009288785979151726,0,0,0,0.14285714285714285,0.14285714285714285,0.7142857142857143,1.0,0.25,0.25,0.0,0.05,0.08096554600001582
chameleon,1,MLP_ONLY,,0.4407894736842105,,0.0,,,,,,,,,,,,,,,
chameleon,1,FINAL_V3,,0.4407894736842105,0.4348422496570645,0.0,,,,0,0,,,,,,,,,,0.43492995000002566
chameleon,1,CA_MRC,full,0.4407894736842105,0.42935528120713307,0.0,0.0021929824561403508,8.101443381747231e-05,0.010814089328050613,0,0,0,0.0,1.0,0.0,1.0,0.25,0.25,0.0,0.2,0.08351265200002445
chameleon,1,CA_MRC,no_compat,0.4407894736842105,0.42935528120713307,0.0,0.0,-0.0002048679016297683,0.039554670453071594,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.01,0.05,0.08316131899999846
chameleon,1,CA_MRC,entropy_only,0.4407894736842105,0.42935528120713307,0.0,0.0,8.101443381747231e-05,0.010814089328050613,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.01,0.05,0.08273298699998577
chameleon,1,CA_MRC,mag_only,0.4407894736842105,0.42935528120713307,0.0,0.0021929824561403508,8.101443381747231e-05,0.010814089328050613,0,0,0,0.0,1.0,0.0,1.0,0.25,0.25,0.0,0.2,0.0825222629999871
citeseer,0,MLP_ONLY,,0.6756756756756757,,0.0,,,,,,,,,,,,,,,
citeseer,0,FINAL_V3,,0.6921921921921922,0.7173708920187793,0.016516516516516533,,,,17,6,,,,,,,,,,0.2983538789999898
citeseer,0,CA_MRC,full,0.6756756756756757,0.692018779342723,0.0,0.0,-3.318709786981344e-07,0.0006060141604393721,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.09752789899999925
citeseer,0,CA_MRC,no_compat,0.6756756756756757,0.692018779342723,0.0,0.0,2.9853504202037584e-07,0.0008934917277656496,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.09724419899998793
citeseer,0,CA_MRC,entropy_only,0.6756756756756757,0.692018779342723,0.0,0.5615615615615616,-3.318709786981344e-07,0.0006060141604393721,0,0,0,0.053475935828877004,0.08021390374331551,0.8663101604278075,1.0,0.25,0.25,0.0,0.05,0.09638265899997123
citeseer,0,CA_MRC,mag_only,0.6756756756756757,0.692018779342723,0.0,0.0,-3.318709786981344e-07,0.0006060141604393721,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.09707779899997604
citeseer,1,MLP_ONLY,,0.6966966966966966,,0.0,,,,,,,,,,,,,,,
citeseer,1,FINAL_V3,,0.7192192192192193,0.7183098591549296,0.022522522522522626,,,,18,3,,,,,,,,,,0.2774991150000119
citeseer,1,CA_MRC,full,0.6966966966966966,0.6901408450704225,0.0,0.0,2.7769640382757643e-06,0.00046942729386501014,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.0972048369999925
citeseer,1,CA_MRC,no_compat,0.6966966966966966,0.6901408450704225,0.0,0.0,4.370646365714492e-06,0.0007125327247194946,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.09671328900003573
citeseer,1,CA_MRC,entropy_only,0.6966966966966966,0.6901408450704225,0.0,0.6051051051051051,2.7769640382757643e-06,0.00046942729386501014,0,0,0,0.07444168734491315,0.06947890818858561,0.8560794044665012,1.0,0.25,0.25,0.0,0.05,0.09678781899998512
citeseer,1,CA_MRC,mag_only,0.6966966966966966,0.6901408450704225,0.0,0.0,2.7769640382757643e-06,0.00046942729386501014,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.09634932000000163
texas,0,MLP_ONLY,,0.7567567567567568,,0.0,,,,,,,,,,,,,,,
texas,0,FINAL_V3,,0.7567567567567568,0.7796610169491526,0.0,,,,0,0,,,,,,,,,,0.010999790000028042
texas,0,CA_MRC,full,0.7567567567567568,0.7796610169491526,0.0,0.0,-2.1249256576538755e-07,3.087969162152149e-05,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.010694709999995666
texas,0,CA_MRC,no_compat,0.7567567567567568,0.7796610169491526,0.0,0.0,-1.9778522073465865e-06,0.00010681343701435253,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.010131397999998626
texas,0,CA_MRC,entropy_only,0.7567567567567568,0.7796610169491526,0.0,0.32432432432432434,-2.1249256576538755e-07,3.087969162152149e-05,0,0,0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.25,0.25,0.0,0.05,0.010179107999988446
texas,0,CA_MRC,mag_only,0.7567567567567568,0.7796610169491526,0.0,0.0,-2.1249256576538755e-07,3.087969162152149e-05,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.009890358000006927
texas,1,MLP_ONLY,,0.918918918918919,,0.0,,,,,,,,,,,,,,,
texas,1,FINAL_V3,,0.8918918918918919,0.7796610169491526,-0.027027027027027084,,,,0,1,,,,,,,,,,0.01103464499999518
texas,1,CA_MRC,full,0.918918918918919,0.7796610169491526,0.0,0.0,-1.4821873151049658e-07,3.661847586045042e-05,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.010670032999996693
texas,1,CA_MRC,no_compat,0.918918918918919,0.7796610169491526,0.0,0.0,-2.865748683689162e-06,0.00012686465925071388,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.010031131000005189
texas,1,CA_MRC,entropy_only,0.918918918918919,0.7796610169491526,0.0,0.21621621621621623,-1.4821873151049658e-07,3.661847586045042e-05,0,0,0,0.125,0.25,0.625,1.0,0.25,0.25,0.0,0.05,0.009991356000000451
texas,1,CA_MRC,mag_only,0.918918918918919,0.7796610169491526,0.0,0.0,-1.4821873151049658e-07,3.661847586045042e-05,0,0,0,nan,nan,nan,1.0,0.25,0.25,0.0,0.05,0.010007976999986568
