dataset,split_id,seed,method,test_acc,delta_vs_mlp,n_helped,n_hurt,correction_precision,frac_confident,frac_unreliable,frac_corrected,tau,rho,runtime_sec
cora,0,133700,MLP_ONLY,0.6841046277665996,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
cora,0,133700,BASELINE_SGC_V1,0.7203219315895373,0.03621730382293764,,,,,,0.32193158953722334,0.801624,,0.1311865699972259
cora,0,133700,V2_MULTIBRANCH,0.716297786720322,0.03219315895372232,,,,0.6780684104627767,0.026156941649899398,0.29577464788732394,0.801624,0.3,0.12849088000075426
cora,0,133700,FINAL_V3,0.716297786720322,0.03219315895372232,17,1,0.9444444444444444,0.7344064386317908,0.03621730382293763,0.22937625754527163,0.67931,0.3,0.11380192000069655
cora,1,133800,MLP_ONLY,0.7303822937625755,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
cora,1,133800,BASELINE_SGC_V1,0.7484909456740443,0.01810865191146882,,,,,,0.2052313883299799,0.574398,,0.1254621469997801
cora,1,133800,V2_MULTIBRANCH,0.7484909456740443,0.01810865191146882,,,,0.7947686116700201,0.026156941649899398,0.1790744466800805,0.574398,0.3,0.1248302349995356
cora,1,133800,FINAL_V3,0.7484909456740443,0.01810865191146882,13,4,0.7647058823529411,0.7323943661971831,0.02012072434607646,0.24748490945674045,0.69513,0.3,0.11066118499729782
cora,2,133900,MLP_ONLY,0.7424547283702213,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
cora,2,133900,BASELINE_SGC_V1,0.7665995975855131,0.024144869215291798,,,,,,0.17303822937625754,0.578372,,0.14090119001048151
cora,2,133900,V2_MULTIBRANCH,0.7665995975855131,0.024144869215291798,,,,0.8269617706237424,0.018108651911468814,0.15492957746478872,0.578372,0.3,0.12293975800275803
cora,2,133900,FINAL_V3,0.7665995975855131,0.024144869215291798,13,1,0.9285714285714286,0.7887323943661971,0.02012072434607646,0.19114688128772636,0.70031,0.3,0.10822081900550984
cora,3,134000,MLP_ONLY,0.6981891348088531,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
cora,3,134000,BASELINE_SGC_V1,0.7505030181086519,0.0523138832997988,,,,,,0.22736418511066397,0.577565,,0.12032222599373199
cora,3,134000,V2_MULTIBRANCH,0.7464788732394366,0.048289738430583484,,,,0.772635814889336,0.028169014084507043,0.19919517102615694,0.577565,0.3,0.11894432200642768
cora,3,134000,FINAL_V3,0.7464788732394366,0.048289738430583484,24,0,1.0,0.7344064386317908,0.026156941649899398,0.23943661971830985,0.69187,0.3,0.10913841599540319
cora,4,134100,MLP_ONLY,0.7766599597585513,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
cora,4,134100,BASELINE_SGC_V1,0.7867203219315896,0.010060362173038295,,,,,,0.19919517102615694,0.612916,,0.11771747199236415
cora,4,134100,V2_MULTIBRANCH,0.7887323943661971,0.012072434607645843,,,,0.8008048289738431,0.02414486921529175,0.1750503018108652,0.612916,0.3,0.11820606800029054
cora,4,134100,FINAL_V3,0.7907444668008048,0.014084507042253502,9,2,0.8181818181818182,0.7183098591549296,0.03420523138832998,0.24748490945674045,0.74703,0.3,0.10911383599159308
citeseer,0,133700,MLP_ONLY,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
citeseer,0,133700,BASELINE_SGC_V1,0.6861861861861862,0.01951951951951958,,,,,,0.21771771771771772,0.591217,,0.2645162499975413
citeseer,0,133700,V2_MULTIBRANCH,0.6846846846846847,0.018018018018018056,,,,0.7822822822822822,0.05105105105105105,0.16666666666666666,0.591217,0.4,0.24076655399403535
citeseer,0,133700,FINAL_V3,0.6816816816816816,0.01501501501501501,14,4,0.7777777777777778,0.7327327327327328,0.05405405405405406,0.2132132132132132,0.70393,0.3,0.22711988099035807
citeseer,1,133800,MLP_ONLY,0.6846846846846847,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
citeseer,1,133800,BASELINE_SGC_V1,0.7102102102102102,0.02552552552552556,,,,,,0.2012012012012012,0.573141,,0.2340666259988211
citeseer,1,133800,V2_MULTIBRANCH,0.7102102102102102,0.02552552552552556,,,,0.7987987987987988,0.03903903903903904,0.16216216216216217,0.573141,0.4,0.22870227199746296
citeseer,1,133800,FINAL_V3,0.7102102102102102,0.02552552552552556,23,6,0.7931034482758621,0.7357357357357357,0.03453453453453453,0.22972972972972974,0.70361,0.3,0.21765124998637475
citeseer,2,133900,MLP_ONLY,0.6801801801801802,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
citeseer,2,133900,BASELINE_SGC_V1,0.6981981981981982,0.018018018018017945,,,,,,0.11561561561561562,0.3,,0.23371073498856276
citeseer,2,133900,V2_MULTIBRANCH,0.6996996996996997,0.019519519519519468,,,,0.8843843843843844,0.018018018018018018,0.09759759759759759,0.3,0.4,0.22898603799694683
citeseer,2,133900,FINAL_V3,0.6996996996996997,0.019519519519519468,16,3,0.8421052631578947,0.8843843843843844,0.010510510510510511,0.10510510510510511,0.3,0.3,0.2198572269990109
citeseer,3,134000,MLP_ONLY,0.6426426426426426,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
citeseer,3,134000,BASELINE_SGC_V1,0.6891891891891891,0.04654654654654655,,,,,,0.3078078078078078,0.747634,,0.19725441199261695
citeseer,3,134000,V2_MULTIBRANCH,0.6816816816816816,0.03903903903903905,,,,0.6921921921921922,0.06756756756756757,0.24024024024024024,0.747634,0.4,0.19172315699688625
citeseer,3,134000,FINAL_V3,0.6891891891891891,0.04654654654654655,33,2,0.9428571428571428,0.7387387387387387,0.03753753753753754,0.22372372372372373,0.6388,0.3,0.1795866769971326
citeseer,4,134100,MLP_ONLY,0.6933962264150944,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
citeseer,4,134100,BASELINE_SGC_V1,0.7358490566037735,0.04245283018867918,,,,,,0.29245283018867924,0.715365,,0.1930244939867407
citeseer,4,134100,V2_MULTIBRANCH,0.7334905660377359,0.04009433962264153,,,,0.7075471698113207,0.025943396226415096,0.2665094339622642,0.715365,0.3,0.18329035700298846
citeseer,4,134100,FINAL_V3,0.7334905660377359,0.04009433962264153,20,3,0.8695652173913043,0.7641509433962265,0.02358490566037736,0.21226415094339623,0.62642,0.3,0.17516897901077755
pubmed,0,133700,MLP_ONLY,0.8676470588235294,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
pubmed,0,133700,BASELINE_SGC_V1,0.8800709939148073,0.012423935091277816,,,,,,0.19852941176470587,0.858398,,0.5553406949911732
pubmed,0,133700,V2_MULTIBRANCH,0.8795638945233266,0.01191683569979718,,,,0.8014705882352942,0.018762677484787018,0.17976673427991888,0.858398,0.4,0.5880675810039975
pubmed,0,133700,FINAL_V3,0.8798174442190669,0.012170385395537497,87,39,0.6904761904761905,0.7550709939148073,0.007099391480730223,0.23782961460446247,0.92149,0.3,0.6938931229960872
pubmed,1,133800,MLP_ONLY,0.8742393509127789,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
pubmed,1,133800,BASELINE_SGC_V1,0.8914807302231237,0.01724137931034475,,,,,,0.19447261663286003,0.847425,,0.5517203060007887
pubmed,1,133800,V2_MULTIBRANCH,0.890973630831643,0.016734279918864114,,,,0.8055273833671399,0.007352941176470588,0.18711967545638944,0.847425,0.3,0.5820598430000246
pubmed,1,133800,FINAL_V3,0.8914807302231237,0.01724137931034475,88,20,0.8148148148148148,0.7492393509127789,0.01191683569979716,0.23884381338742394,0.91959,0.3,0.5457065920054447
pubmed,2,133900,MLP_ONLY,0.8742393509127789,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
pubmed,2,133900,BASELINE_SGC_V1,0.8861561866125761,0.01191683569979718,,,,,,0.20436105476673427,0.873327,,0.5737874759943224
pubmed,2,133900,V2_MULTIBRANCH,0.8859026369168357,0.01166328600405675,,,,0.7956389452332657,0.018255578093306288,0.186105476673428,0.873327,0.4,0.5960525090049487
pubmed,2,133900,FINAL_V3,0.8864097363083164,0.012170385395537497,82,34,0.7068965517241379,0.7477180527383367,0.00988843813387424,0.24239350912778904,0.93093,0.3,0.7083952259999933
pubmed,3,134000,MLP_ONLY,0.8714503042596349,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
pubmed,3,134000,BASELINE_SGC_V1,0.8828600405679513,0.011409736308316432,,,,,,0.18407707910750506,0.858053,,0.5568699040013598
pubmed,3,134000,V2_MULTIBRANCH,0.8818458417849898,0.010395537525354936,,,,0.815922920892495,0.018255578093306288,0.1658215010141988,0.858053,0.4,0.592922116004047
pubmed,3,134000,FINAL_V3,0.8828600405679513,0.011409736308316432,79,34,0.6991150442477876,0.7578600405679513,0.012170385395537525,0.22996957403651117,0.92877,0.3,0.5502490799990483
pubmed,4,134100,MLP_ONLY,0.8770283975659229,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
pubmed,4,134100,BASELINE_SGC_V1,0.888184584178499,0.011156186612576113,,,,,,0.19371196754563894,0.852576,,0.550905497992062
pubmed,4,134100,V2_MULTIBRANCH,0.888184584178499,0.011156186612576113,,,,0.8062880324543611,0.007860040567951318,0.18585192697768763,0.852576,0.3,0.6742334560112795
pubmed,4,134100,FINAL_V3,0.888184584178499,0.011156186612576113,78,34,0.6964285714285714,0.7609026369168357,0.008113590263691683,0.2309837728194726,0.9176,0.3,0.5476417329919059
chameleon,0,133700,MLP_ONLY,0.4407894736842105,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,0,133700,BASELINE_SGC_V1,0.4407894736842105,0.0,,,,,,0.09210526315789473,0.15,,0.30104194600426126
chameleon,0,133700,V2_MULTIBRANCH,0.4407894736842105,0.0,,,,0.9078947368421053,0.05482456140350877,0.03728070175438596,0.15,0.4,0.2952344290097244
chameleon,0,133700,FINAL_V3,0.4407894736842105,0.0,1,1,0.5,0.7850877192982456,0.0,0.2149122807017544,0.2,0.3,0.2860909349983558
chameleon,1,133800,MLP_ONLY,0.4649122807017544,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,1,133800,BASELINE_SGC_V1,0.4692982456140351,0.004385964912280715,,,,,,0.021929824561403508,0.05,,0.2751543939957628
chameleon,1,133800,V2_MULTIBRANCH,0.46710526315789475,0.0021929824561403577,,,,0.9451754385964912,0.039473684210526314,0.015350877192982455,0.1,0.4,0.29658726799243595
chameleon,1,133800,FINAL_V3,0.4649122807017544,0.0,0,0,1.0,0.9780701754385965,0.017543859649122806,0.0043859649122807015,0.05,0.5,0.2874506000080146
chameleon,2,133900,MLP_ONLY,0.45394736842105265,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,2,133900,BASELINE_SGC_V1,0.45394736842105265,0.0,,,,,,0.07017543859649122,0.1,,0.2899818059959216
chameleon,2,133900,V2_MULTIBRANCH,0.4517543859649123,-0.0021929824561403577,,,,0.9298245614035088,0.03508771929824561,0.03508771929824561,0.1,0.3,0.2926733539934503
chameleon,2,133900,FINAL_V3,0.45394736842105265,0.0,3,3,0.5,0.9298245614035088,0.006578947368421052,0.06359649122807018,0.1,0.3,0.2857133770012297
chameleon,3,134000,MLP_ONLY,0.5109649122807017,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,3,134000,BASELINE_SGC_V1,0.5131578947368421,0.002192982456140413,,,,,,0.021929824561403508,0.05,,0.2899259390105726
chameleon,3,134000,V2_MULTIBRANCH,0.5153508771929824,0.004385964912280715,,,,0.9539473684210527,0.02850877192982456,0.017543859649122806,0.1,0.4,0.29284529699361883
chameleon,3,134000,FINAL_V3,0.5153508771929824,0.004385964912280715,2,0,1.0,0.9780701754385965,0.0,0.021929824561403508,0.05,0.3,0.2860412459995132
chameleon,4,134100,MLP_ONLY,0.4868421052631579,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,4,134100,BASELINE_SGC_V1,0.48903508771929827,0.0021929824561403577,,,,,,0.11403508771929824,0.2,,0.28734678898763377
chameleon,4,134100,V2_MULTIBRANCH,0.48903508771929827,0.0021929824561403577,,,,0.8859649122807017,0.043859649122807015,0.07017543859649122,0.2,0.3,0.29260862099181395
chameleon,4,134100,FINAL_V3,0.4824561403508772,-0.004385964912280715,0,2,0.0,0.8859649122807017,0.06578947368421052,0.04824561403508772,0.2,0.5,0.2869823799992446
texas,0,133700,MLP_ONLY,0.7567567567567568,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,0,133700,BASELINE_SGC_V1,0.7567567567567568,0.0,,,,,,0.05405405405405406,0.05,,0.0064859559934120625
texas,0,133700,V2_MULTIBRANCH,0.7567567567567568,0.0,,,,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.008864147996064276
texas,0,133700,FINAL_V3,0.7567567567567568,0.0,0,0,0.0,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.006708953995257616
texas,1,133800,MLP_ONLY,0.9459459459459459,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,1,133800,BASELINE_SGC_V1,0.972972972972973,0.027027027027027084,,,,,,0.02702702702702703,0.05,,0.006665680994046852
texas,1,133800,V2_MULTIBRANCH,0.972972972972973,0.027027027027027084,,,,0.972972972972973,0.0,0.02702702702702703,0.05,0.3,0.009115298991673626
texas,1,133800,FINAL_V3,0.972972972972973,0.027027027027027084,1,0,1.0,0.972972972972973,0.0,0.02702702702702703,0.05,0.3,0.006808499005273916
texas,2,133900,MLP_ONLY,0.8378378378378378,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,2,133900,BASELINE_SGC_V1,0.8378378378378378,0.0,,,,,,0.0,0.05,,0.00650506500096526
texas,2,133900,V2_MULTIBRANCH,0.8378378378378378,0.0,,,,1.0,0.0,0.0,0.05,0.3,0.009139497997239232
texas,2,133900,FINAL_V3,0.8378378378378378,0.0,0,0,1.0,1.0,0.0,0.0,0.05,0.3,0.006727480998961255
texas,3,134000,MLP_ONLY,0.8108108108108109,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,3,134000,BASELINE_SGC_V1,0.8378378378378378,0.027027027027026973,,,,,,0.05405405405405406,0.05,,0.006824868003604934
texas,3,134000,V2_MULTIBRANCH,0.8378378378378378,0.027027027027026973,,,,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.009276028999011032
texas,3,134000,FINAL_V3,0.8378378378378378,0.027027027027026973,1,0,1.0,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.007007312000496313
texas,4,134100,MLP_ONLY,0.7297297297297297,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,4,134100,BASELINE_SGC_V1,0.7027027027027027,-0.027027027027026973,,,,,,0.05405405405405406,0.05,,0.0068756029941141605
texas,4,134100,V2_MULTIBRANCH,0.7297297297297297,0.0,,,,0.9459459459459459,0.02702702702702703,0.02702702702702703,0.05,0.3,0.009480538006755523
texas,4,134100,FINAL_V3,0.7297297297297297,0.0,0,0,0.0,0.9459459459459459,0.02702702702702703,0.02702702702702703,0.05,0.3,0.007423340997775085
wisconsin,0,133700,MLP_ONLY,0.803921568627451,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,0,133700,BASELINE_SGC_V1,0.803921568627451,0.0,,,,,,0.0,0.05,,0.009186091003357433
wisconsin,0,133700,V2_MULTIBRANCH,0.803921568627451,0.0,,,,1.0,0.0,0.0,0.05,0.3,0.011585669009946287
wisconsin,0,133700,FINAL_V3,0.803921568627451,0.0,0,0,1.0,1.0,0.0,0.0,0.05,0.3,0.00888424699951429
wisconsin,1,133800,MLP_ONLY,0.7843137254901961,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,1,133800,BASELINE_SGC_V1,0.7843137254901961,0.0,,,,,,0.0196078431372549,0.05,,0.00900744400860276
wisconsin,1,133800,V2_MULTIBRANCH,0.7843137254901961,0.0,,,,0.9803921568627451,0.0,0.0196078431372549,0.05,0.7,0.011696158006088808
wisconsin,1,133800,FINAL_V3,0.7843137254901961,0.0,0,0,1.0,0.9803921568627451,0.0,0.0196078431372549,0.05,0.3,0.0090440459898673
wisconsin,2,133900,MLP_ONLY,0.803921568627451,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,2,133900,BASELINE_SGC_V1,0.803921568627451,0.0,,,,,,0.0392156862745098,0.05,,0.009197220002533868
wisconsin,2,133900,V2_MULTIBRANCH,0.803921568627451,0.0,,,,0.9607843137254902,0.0392156862745098,0.0,0.05,0.3,0.011803259010775946
wisconsin,2,133900,FINAL_V3,0.803921568627451,0.0,0,0,1.0,0.9607843137254902,0.0392156862745098,0.0,0.05,0.3,0.009288608998758718
wisconsin,3,134000,MLP_ONLY,0.8823529411764706,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,3,134000,BASELINE_SGC_V1,0.8823529411764706,0.0,,,,,,0.0392156862745098,0.05,,0.008940991989220493
wisconsin,3,134000,V2_MULTIBRANCH,0.8823529411764706,0.0,,,,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.05,0.3,0.011594441995839588
wisconsin,3,134000,FINAL_V3,0.8823529411764706,0.0,0,0,1.0,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.05,0.3,0.009263594998628832
wisconsin,4,134100,MLP_ONLY,0.8823529411764706,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,4,134100,BASELINE_SGC_V1,0.8823529411764706,0.0,,,,,,0.0196078431372549,0.05,,0.00954150799952913
wisconsin,4,134100,V2_MULTIBRANCH,0.8823529411764706,0.0,,,,0.9803921568627451,0.0196078431372549,0.0,0.05,0.7,0.012156559008872136
wisconsin,4,134100,FINAL_V3,0.8823529411764706,0.0,0,0,0.0,0.9803921568627451,0.0,0.0196078431372549,0.05,0.4,0.009423726005479693
