dataset,split_id,h1_max_value,ms_hsgc_test_acc,delta_vs_mlp,delta_vs_final_v3,n_helped,n_hurt,net_help,frac_corrected_1hop,frac_corrected_2hop,frac_mlp_only_uncertain,blocked_by_h1_only,blocked_by_r1,blocked_by_r2,blocked_by_delta,selected_tau,selected_rho1,selected_rho2,selected_delta_min,selected_profile_1hop,selected_profile_2hop
chameleon,0,0.6,0.43859649122807015,-0.0021929824561403577,-0.0021929824561403577,0,1,-1,0.006578947368421052,0.021929824561403508,0.02631578947368421,0.84,0.04,0.36,0.12,0.1,0.3,0.3,0.0,0,0
chameleon,0,0.7,0.4407894736842105,0.0,0.0,1,1,0,0.017543859649122806,0.019736842105263157,0.017543859649122806,0.64,0.04,0.24,0.08,0.1,0.3,0.3,0.0,0,0
chameleon,0,0.8,0.43640350877192985,-0.00438596491228066,-0.00438596491228066,1,3,-2,0.03070175438596491,0.010964912280701754,0.013157894736842105,0.4,0.04,0.2,0.04,0.1,0.3,0.3,0.0,0,0
chameleon,1,0.6,0.4692982456140351,0.004385964912280715,0.004385964912280715,2,0,2,0.010964912280701754,0.02850877192982456,0.019736842105263157,0.7407407407407407,0.07407407407407407,0.18518518518518517,0.14814814814814814,0.1,0.3,0.3,0.0,0,0
chameleon,1,0.7,0.4692982456140351,0.004385964912280715,0.004385964912280715,2,0,2,0.021929824561403508,0.02850877192982456,0.008771929824561403,0.5555555555555556,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.1,0.3,0.3,0.0,0,0
chameleon,1,0.8,0.4692982456140351,0.004385964912280715,0.004385964912280715,2,0,2,0.03508771929824561,0.017543859649122806,0.006578947368421052,0.3333333333333333,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.1,0.3,0.3,0.0,0,0
chameleon,2,0.6,0.4473684210526316,0.0,0.0,0,0,0,0.021929824561403508,0.015350877192982455,0.017543859649122806,0.56,0.04,0.24,0.08,0.1,0.3,0.3,0.0,0,1
chameleon,2,0.7,0.4451754385964912,-0.0021929824561403577,-0.0021929824561403577,0,1,-1,0.02850877192982456,0.010964912280701754,0.015350877192982455,0.44,0.04,0.2,0.08,0.1,0.3,0.3,0.0,0,1
chameleon,2,0.8,0.4451754385964912,-0.0021929824561403577,-0.0021929824561403577,0,1,-1,0.03508771929824561,0.0043859649122807015,0.015350877192982455,0.32,0.04,0.2,0.08,0.1,0.3,0.3,0.0,0,1
chameleon,3,0.6,0.5021929824561403,0.0,0.002192982456140302,0,0,0,0.0021929824561403508,0.010964912280701754,0.013157894736842105,0.75,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.05,0.3,0.3,0.0,0,0
chameleon,3,0.7,0.5021929824561403,0.0,0.002192982456140302,0,0,0,0.008771929824561403,0.006578947368421052,0.010964912280701754,0.5,0.16666666666666666,0.25,0.16666666666666666,0.05,0.3,0.3,0.0,0,0
chameleon,3,0.8,0.5021929824561403,0.0,0.002192982456140302,0,0,0,0.019736842105263157,0.0,0.006578947368421052,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.05,0.3,0.3,0.0,0,0
chameleon,4,0.6,0.48026315789473684,0.0021929824561403577,0.0021929824561403577,1,0,1,0.015350877192982455,0.04824561403508772,0.03508771929824561,0.8222222222222222,0.022222222222222223,0.2222222222222222,0.13333333333333333,0.2,0.3,0.3,0.0,0,1
chameleon,4,0.7,0.48026315789473684,0.0021929824561403577,0.0021929824561403577,1,0,1,0.02631578947368421,0.043859649122807015,0.02850877192982456,0.7111111111111111,0.022222222222222223,0.2,0.08888888888888889,0.2,0.3,0.3,0.0,0,1
chameleon,4,0.8,0.48026315789473684,0.0021929824561403577,0.0021929824561403577,1,0,1,0.039473684210526314,0.03508771929824561,0.02412280701754386,0.5777777777777777,0.022222222222222223,0.2,0.044444444444444446,0.2,0.3,0.3,0.0,0,1
chameleon,5,0.6,0.46710526315789475,0.0,0.0,1,1,0,0.006578947368421052,0.03289473684210526,0.05482456140350877,0.8837209302325582,0.046511627906976744,0.3488372093023256,0.23255813953488372,0.2,0.3,0.3,0.0,0,1
chameleon,5,0.7,0.46710526315789475,0.0,0.0,1,1,0,0.010964912280701754,0.03289473684210526,0.05043859649122807,0.8372093023255814,0.046511627906976744,0.3488372093023256,0.18604651162790697,0.2,0.3,0.3,0.0,0,1
chameleon,5,0.8,0.47149122807017546,0.004385964912280715,0.004385964912280715,2,0,2,0.041666666666666664,0.021929824561403508,0.03070175438596491,0.5116279069767442,0.046511627906976744,0.27906976744186046,0.046511627906976744,0.2,0.3,0.3,0.0,0,1
chameleon,6,0.6,0.45394736842105265,-0.002192982456140302,0.006578947368421073,0,1,-1,0.0021929824561403508,0.02412280701754386,0.021929824561403508,0.8181818181818182,0.13636363636363635,0.36363636363636365,0.09090909090909091,0.1,0.3,0.3,0.0,0,1
chameleon,6,0.7,0.4517543859649123,-0.00438596491228066,0.004385964912280715,0,2,-2,0.008771929824561403,0.021929824561403508,0.017543859649122806,0.6818181818181818,0.13636363636363635,0.3181818181818182,0.045454545454545456,0.1,0.3,0.3,0.0,0,1
chameleon,6,0.8,0.4517543859649123,-0.00438596491228066,0.004385964912280715,0,2,-2,0.008771929824561403,0.021929824561403508,0.017543859649122806,0.6818181818181818,0.13636363636363635,0.3181818181818182,0.045454545454545456,0.1,0.3,0.3,0.0,0,1
chameleon,7,0.6,0.44956140350877194,0.0021929824561403577,0.0021929824561403577,1,0,1,0.03289473684210526,0.10087719298245613,0.07456140350877193,0.8105263157894737,0.031578947368421054,0.28421052631578947,0.07368421052631578,0.2,0.3,0.3,0.0,0,1
chameleon,7,0.7,0.44956140350877194,0.0021929824561403577,0.0021929824561403577,1,0,1,0.05263157894736842,0.09649122807017543,0.05921052631578947,0.7157894736842105,0.031578947368421054,0.25263157894736843,0.031578947368421054,0.2,0.3,0.3,0.0,0,1
chameleon,7,0.8,0.44956140350877194,0.0021929824561403577,0.0021929824561403577,1,0,1,0.11403508771929824,0.05482456140350877,0.039473684210526314,0.42105263157894735,0.031578947368421054,0.17894736842105263,0.010526315789473684,0.2,0.3,0.3,0.0,0,1
chameleon,8,0.6,0.4605263157894737,0.0,0.0,1,1,0,0.010964912280701754,0.006578947368421052,0.006578947368421052,0.5454545454545454,0.0,0.09090909090909091,0.18181818181818182,0.05,0.3,0.3,0.0,0,0
chameleon,8,0.7,0.4605263157894737,0.0,0.0,1,1,0,0.013157894736842105,0.006578947368421052,0.0043859649122807015,0.45454545454545453,0.0,0.09090909090909091,0.09090909090909091,0.05,0.3,0.3,0.0,0,0
chameleon,8,0.8,0.4605263157894737,0.0,0.0,1,1,0,0.013157894736842105,0.006578947368421052,0.0043859649122807015,0.45454545454545453,0.0,0.09090909090909091,0.09090909090909091,0.05,0.3,0.3,0.0,0,0
chameleon,9,0.6,0.4451754385964912,0.0,0.0,0,0,0,0.02412280701754386,0.02850877192982456,0.03289473684210526,0.6923076923076923,0.02564102564102564,0.2564102564102564,0.1282051282051282,0.2,0.3,0.3,0.0,0,1
chameleon,9,0.7,0.4451754385964912,0.0,0.0,0,0,0,0.02631578947368421,0.02850877192982456,0.03070175438596491,0.6666666666666666,0.02564102564102564,0.2564102564102564,0.10256410256410256,0.2,0.3,0.3,0.0,0,1
chameleon,9,0.8,0.4451754385964912,0.0,0.0,0,0,0,0.03728070175438596,0.021929824561403508,0.02631578947368421,0.5384615384615384,0.02564102564102564,0.20512820512820512,0.10256410256410256,0.2,0.3,0.3,0.0,0,1
citeseer,0,0.6,0.6831831831831832,0.0,-0.009009009009009028,2,2,0,0.018018018018018018,0.036036036036036036,0.016516516516516516,0.6382978723404256,0.10638297872340426,0.2127659574468085,0.02127659574468085,0.2,0.3,0.3,0.0,0,1
citeseer,0,0.7,0.6846846846846847,0.0015015015015015232,-0.007507507507507505,3,2,1,0.02252252252252252,0.03303303303303303,0.015015015015015015,0.574468085106383,0.10638297872340426,0.19148936170212766,0.02127659574468085,0.2,0.3,0.3,0.0,0,1
citeseer,0,0.8,0.6846846846846847,0.0015015015015015232,-0.007507507507507505,4,3,1,0.025525525525525526,0.03153153153153153,0.013513513513513514,0.5319148936170213,0.10638297872340426,0.19148936170212766,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,1,0.6,0.6981981981981982,0.006006006006005982,-0.012012012012012074,4,0,4,0.015015015015015015,0.02702702702702703,0.028528528528528527,0.5957446808510638,0.19148936170212766,0.40425531914893614,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,1,0.7,0.6981981981981982,0.006006006006005982,-0.012012012012012074,4,0,4,0.016516516516516516,0.02702702702702703,0.02702702702702703,0.574468085106383,0.19148936170212766,0.3829787234042553,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,1,0.8,0.6996996996996997,0.007507507507507505,-0.010510510510510551,5,0,5,0.018018018018018018,0.025525525525525526,0.02702702702702703,0.5531914893617021,0.19148936170212766,0.3829787234042553,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,2,0.6,0.6741741741741741,0.0045045045045044585,-0.018018018018018056,3,0,3,0.03153153153153153,0.025525525525525526,0.028528528528528527,0.45614035087719296,0.17543859649122806,0.3157894736842105,0.017543859649122806,0.2,0.3,0.3,0.0,0,0
citeseer,2,0.7,0.6756756756756757,0.006006006006005982,-0.016516516516516533,4,0,4,0.036036036036036036,0.02252252252252252,0.02702702702702703,0.40350877192982454,0.17543859649122806,0.2982456140350877,0.017543859649122806,0.2,0.3,0.3,0.0,0,0
citeseer,2,0.8,0.6756756756756757,0.006006006006005982,-0.016516516516516533,4,0,4,0.03753753753753754,0.021021021021021023,0.02702702702702703,0.38596491228070173,0.17543859649122806,0.2982456140350877,0.017543859649122806,0.2,0.3,0.3,0.0,0,0
citeseer,3,0.6,0.6381381381381381,0.0045045045045044585,-0.022522522522522515,4,1,3,0.03303303303303303,0.02702702702702703,0.013513513513513514,0.40816326530612246,0.14285714285714285,0.1836734693877551,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,3,0.7,0.6366366366366366,0.0030030030030029353,-0.024024024024024038,4,2,2,0.03453453453453453,0.02702702702702703,0.012012012012012012,0.3877551020408163,0.14285714285714285,0.16326530612244897,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,3,0.8,0.6366366366366366,0.0030030030030029353,-0.024024024024024038,4,2,2,0.036036036036036036,0.02702702702702703,0.010510510510510511,0.3673469387755102,0.14285714285714285,0.14285714285714285,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,4,0.6,0.714622641509434,0.011792452830188704,-0.023584905660377298,5,0,5,0.03537735849056604,0.02358490566037736,0.025943396226415096,0.5277777777777778,0.05555555555555555,0.3055555555555556,0.0,0.2,0.3,0.3,0.0,0,0
citeseer,4,0.7,0.714622641509434,0.011792452830188704,-0.023584905660377298,5,0,5,0.03537735849056604,0.02358490566037736,0.025943396226415096,0.5277777777777778,0.05555555555555555,0.3055555555555556,0.0,0.2,0.3,0.3,0.0,0,0
citeseer,4,0.8,0.714622641509434,0.011792452830188704,-0.023584905660377298,5,0,5,0.03537735849056604,0.02358490566037736,0.025943396226415096,0.5277777777777778,0.05555555555555555,0.3055555555555556,0.0,0.2,0.3,0.3,0.0,0,0
citeseer,5,0.6,0.6910377358490566,0.014150943396226356,-0.009433962264150941,6,0,6,0.04009433962264151,0.02358490566037736,0.0330188679245283,0.3902439024390244,0.1951219512195122,0.34146341463414637,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,5,0.7,0.6910377358490566,0.014150943396226356,-0.009433962264150941,6,0,6,0.04009433962264151,0.02358490566037736,0.0330188679245283,0.3902439024390244,0.1951219512195122,0.34146341463414637,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,5,0.8,0.6910377358490566,0.014150943396226356,-0.009433962264150941,6,0,6,0.04245283018867924,0.02122641509433962,0.0330188679245283,0.36585365853658536,0.1951219512195122,0.34146341463414637,0.0,0.2,0.3,0.3,0.0,0,1
citeseer,6,0.6,0.6831831831831832,0.009009009009009028,-0.016516516516516533,6,0,6,0.024024024024024024,0.02702702702702703,0.03153153153153153,0.509090909090909,0.2,0.34545454545454546,0.03636363636363636,0.2,0.3,0.3,0.0,0,1
citeseer,6,0.7,0.6831831831831832,0.009009009009009028,-0.016516516516516533,6,0,6,0.024024024024024024,0.02702702702702703,0.03153153153153153,0.509090909090909,0.2,0.34545454545454546,0.03636363636363636,0.2,0.3,0.3,0.0,0,1
citeseer,6,0.8,0.6831831831831832,0.009009009009009028,-0.016516516516516533,6,0,6,0.02702702702702703,0.02702702702702703,0.028528528528528527,0.4727272727272727,0.2,0.32727272727272727,0.01818181818181818,0.2,0.3,0.3,0.0,0,1
citeseer,7,0.6,0.6741741741741741,0.0030030030030029353,-0.02552552552552556,3,1,2,0.016516516516516516,0.03003003003003003,0.02252252252252252,0.5869565217391305,0.17391304347826086,0.30434782608695654,0.021739130434782608,0.2,0.3,0.3,0.0,0,0
citeseer,7,0.7,0.6756756756756757,0.0045045045045044585,-0.024024024024024038,4,1,3,0.01951951951951952,0.028528528528528527,0.021021021021021023,0.5434782608695652,0.17391304347826086,0.30434782608695654,0.0,0.2,0.3,0.3,0.0,0,0
citeseer,7,0.8,0.6756756756756757,0.0045045045045044585,-0.024024024024024038,4,1,3,0.01951951951951952,0.028528528528528527,0.021021021021021023,0.5434782608695652,0.17391304347826086,0.30434782608695654,0.0,0.2,0.3,0.3,0.0,0,0
citeseer,8,0.6,0.6801801801801802,0.0030030030030030463,-0.03153153153153143,2,0,2,0.016516516516516516,0.024024024024024024,0.028528528528528527,0.5434782608695652,0.21739130434782608,0.34782608695652173,0.06521739130434782,0.2,0.3,0.3,0.0,0,1
citeseer,8,0.7,0.6801801801801802,0.0030030030030030463,-0.03153153153153143,2,0,2,0.018018018018018018,0.024024024024024024,0.02702702702702703,0.5217391304347826,0.21739130434782608,0.34782608695652173,0.043478260869565216,0.2,0.3,0.3,0.0,0,1
citeseer,8,0.8,0.6801801801801802,0.0030030030030030463,-0.03153153153153143,2,0,2,0.018018018018018018,0.024024024024024024,0.02702702702702703,0.5217391304347826,0.21739130434782608,0.34782608695652173,0.043478260869565216,0.2,0.3,0.3,0.0,0,1
citeseer,9,0.6,0.7507507507507507,0.013513513513513487,-0.010510510510510551,10,1,9,0.025525525525525526,0.03903903903903904,0.015015015015015015,0.5849056603773585,0.09433962264150944,0.16981132075471697,0.018867924528301886,0.2,0.3,0.3,0.0,0,1
citeseer,9,0.7,0.7507507507507507,0.013513513513513487,-0.010510510510510551,10,1,9,0.025525525525525526,0.03903903903903904,0.015015015015015015,0.5849056603773585,0.09433962264150944,0.16981132075471697,0.018867924528301886,0.2,0.3,0.3,0.0,0,1
citeseer,9,0.8,0.7507507507507507,0.013513513513513487,-0.010510510510510551,10,1,9,0.02702702702702703,0.03903903903903904,0.013513513513513514,0.5660377358490566,0.09433962264150944,0.16981132075471697,0.0,0.2,0.3,0.3,0.0,0,1
texas,0,0.6,0.7567567567567568,0.0,0.0,0,0,0,0.0,0.02702702702702703,0.02702702702702703,1.0,0.0,0.5,0.0,0.05,0.3,0.3,0.0,0,0
texas,0,0.7,0.7567567567567568,0.0,0.0,0,0,0,0.02702702702702703,0.0,0.02702702702702703,0.5,0.0,0.5,0.0,0.05,0.3,0.3,0.0,0,0
texas,0,0.8,0.7567567567567568,0.0,0.0,0,0,0,0.02702702702702703,0.0,0.02702702702702703,0.5,0.0,0.5,0.0,0.05,0.3,0.3,0.0,0,0
texas,1,0.6,0.9459459459459459,0.0,-0.027027027027027084,0,0,0,0.0,0.0,0.02702702702702703,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,1,0.7,0.9459459459459459,0.0,-0.027027027027027084,0,0,0,0.0,0.0,0.02702702702702703,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,1,0.8,0.9459459459459459,0.0,-0.027027027027027084,0,0,0,0.0,0.0,0.02702702702702703,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,2,0.6,0.8378378378378378,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,2,0.7,0.8378378378378378,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,2,0.8,0.8378378378378378,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,3,0.6,0.8108108108108109,0.0,-0.027027027027026973,0,0,0,0.02702702702702703,0.0,0.02702702702702703,0.5,0.0,0.5,0.0,0.05,0.3,0.3,0.0,0,0
texas,3,0.7,0.8108108108108109,0.0,-0.027027027027026973,0,0,0,0.02702702702702703,0.0,0.02702702702702703,0.5,0.0,0.5,0.0,0.05,0.3,0.3,0.0,0,0
texas,3,0.8,0.8108108108108109,0.0,-0.027027027027026973,0,0,0,0.02702702702702703,0.0,0.02702702702702703,0.5,0.0,0.5,0.0,0.05,0.3,0.3,0.0,0,0
texas,4,0.6,0.7297297297297297,0.0,0.0,0,0,0,0.0,0.0,0.05405405405405406,0.5,0.5,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,4,0.7,0.7297297297297297,0.0,0.0,0,0,0,0.0,0.0,0.05405405405405406,0.5,0.5,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,4,0.8,0.7297297297297297,0.0,0.0,0,0,0,0.0,0.0,0.05405405405405406,0.5,0.5,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,5,0.6,0.7567567567567568,0.0,0.027027027027027084,0,0,0,0.0,0.02702702702702703,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,5,0.7,0.7567567567567568,0.0,0.027027027027027084,0,0,0,0.0,0.02702702702702703,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,5,0.8,0.7567567567567568,0.0,0.027027027027027084,0,0,0,0.0,0.02702702702702703,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,6,0.6,0.8108108108108109,0.0,0.0,0,0,0,0.0,0.02702702702702703,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,6,0.7,0.8108108108108109,0.0,0.0,0,0,0,0.0,0.02702702702702703,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,6,0.8,0.8108108108108109,0.0,0.0,0,0,0,0.0,0.02702702702702703,0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,7,0.6,0.7837837837837838,0.0,-0.027027027027027084,0,0,0,0.0,0.0,0.02702702702702703,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,7,0.7,0.7837837837837838,0.0,-0.027027027027027084,0,0,0,0.0,0.0,0.02702702702702703,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,7,0.8,0.7837837837837838,0.0,-0.027027027027027084,0,0,0,0.0,0.0,0.02702702702702703,1.0,0.0,1.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,8,0.6,0.7297297297297297,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,8,0.7,0.7297297297297297,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,8,0.8,0.7297297297297297,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,9,0.6,0.8918918918918919,0.0,0.0,0,0,0,0.0,0.08108108108108109,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,9,0.7,0.8918918918918919,0.0,0.0,0,0,0,0.0,0.08108108108108109,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.05,0.3,0.3,0.0,0,0
texas,9,0.8,0.8918918918918919,0.0,0.0,0,0,0,0.0,0.08108108108108109,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.05,0.3,0.3,0.0,0,0
